batch,source,timeline,k,k_wanted,home,M,rho,verdict,gate_loss,expert_loss,central_loss,deltas
1981,slimorca,TA,2,22,3,13,0.41,ADMIT,2.236,,0.279,e9:-0.971;e11*:-0.928
1982,slimorca,TA,2,5,2,128,0.43,ADMIT,0.124,0.011,1.383,e82:-0.052;e0*:-0.053
1983,gsm8k,TA,2,6,3,103,0.57,HELDOUT,,,,e35:-0.118;e38*:-0.083
1984,gsm8k,TA,2,8,3,128,0.5,HELDOUT,,,,e56:-0.200;e74*:-0.025
1985,slimorca,TA,2,9,2,116,0.39,ADMIT,0.825,0.007,0.879,e15:-0.115;e17*:-0.126
1986,slimorca,TB,2,36,2,128,0.39,HELDOUT,,,,e41:-0.081;e67*:-0.101
1987,metamath,TB,2,4,1,128,0.53,ADMIT,0.49,0.012,0.336,e63:-0.040;e65*:-0.042
1988,metamath,TA,2,10,1,96,0.42,ADMIT,0.045,,0.582,e86:-0.010;e87*:-0.062
1989,python_instructions,TB,2,4,1,81,0.51,ADMIT,0.272,,0.637,e75:-0.021;e79*:-0.019
1990,slimorca,TA,2,10,2,9,0.42,ADMIT,0.298,0.003,0.098,e72:-0.340;e78*:-0.229
1991,github_code,TA,2,4,1,36,0.6,ADMIT,0.019,,0.684,e83:-0.028;e4*:+0.000
1992,ultrachat,TB,2,20,2,128,0.39,HELDOUT,,,,e55:-0.016;e58*:-0.125
1993,slimorca,TA,2,8,2,128,0.43,ADMIT,0.039,,0.91,e80:-0.064;e82*:-0.060
1994,camel_science,TA,2,4,2,3,0.52,REFUSE,,,0.125,e0:-1.990;e15*:-1.479
1995,github_code,TB,2,3,1,22,0.6,ADMIT,0.047,0.001,1.609,e18:-0.060;e19*:+0.003
1996,ultrachat,TB,2,29,3,128,0.4,ADMIT,0.226,,1.242,e89:-0.112;e9*:-0.037
1997,gsm8k,TA,2,5,0,101,0.47,ADMIT,2.614,,0.328,e61:-0.085;e96*:-0.079
1998,slimorca,TA,2,17,3,128,0.42,ADMIT,0.081,,1.172,e11:-0.041;e35*:-0.027
1999,ai2_arc,TA,2,6,2,7,0.43,ADMIT,0.32,0.184,0.0,e17:-1.429;e41*:-0.482
2000,slimorca,TB,2,24,2,19,0.4,HELDOUT,,,,e67:-0.158;e72*:-0.132
2001,ultrachat,TA,2,41,2,128,0.43,ADMIT,0.828,,1.227,e78:-0.022;e80*:-0.030
2002,gsm8k,TA,2,6,3,116,0.5,ADMIT,0.689,,0.361,e56:-0.195;e61*:-0.195
2003,metamath,TA,2,6,0,128,0.46,ADMIT,2.779,-0.003,0.041,e97:-0.059;e14*:-0.031
2004,python_instructions,TB,2,5,1,128,0.58,ADMIT,0.335,,0.949,e59:+0.019;e63*:+0.014
2005,gsm8k,TA,2,7,0,107,0.47,HELDOUT,,,,e31:-0.006;e40*:-0.021
2006,camel_science,TA,2,3,2,3,0.45,REFUSE,,,3.25,e82:+1.229;e0*:+0.062
2007,python_instructions,TB,2,5,1,85,0.58,ADMIT,0.208,,0.307,e65:+0.003;e75*:-0.009
2008,metamath,TA,2,6,1,128,0.48,ADMIT,0.116,,0.168,e79:-0.122;e83*:-0.142
2009,camel_science,TA,2,2,2,1,0.6,HELDOUT,,,,e11:-1.750;e15*:-1.750
2010,python_instructions,TB,2,2,1,39,0.57,ADMIT,0.03,,0.949,e4:+0.022;e18*:+0.025
2011,camel_science,TB,2,2,2,2,0.49,HELDOUT,,,,e17:-0.156;e67*:+0.000
2012,camel_science,TA,2,2,2,2,0.6,REFUSE,,,0.25,e72:-0.031;e78*:+0.188
2013,camel_science,TA,2,3,2,2,0.6,REFUSE,,,0.0,e80:-1.938;e82*:-1.688
2014,slimorca,TA,2,5,2,46,0.37,ADMIT,0.309,,1.75,e0:-0.296;e11*:-0.121
